day	hour	value
0	0	0
0	1	0
0	2	0
0	3	0
0	4	0
0	5	0
0	6	0
0	7	0
0	8	0
0	9	0
0	10	0
0	11	0
0	12	0
0	13	0
0	14	0
0	15	0
0	16	0
0	17	5
0	18	0
0	19	0
0	20	0
0	21	0
0	22	0
0	23	0
1	0	0
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	8
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
2	0	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	3
2	13	0
2	14	0
2	15	0
2	16	0
2	17	0
2	18	0
2	19	0
2	20	5
2	21	0
2	22	0
2	23	0
3	0	0
3	1	0
3	2	1
3	3	5
3	4	5
3	5	5
3	6	6
3	7	0
3	8	4
3	9	5
3	10	4
3	11	6
3	12	5
3	13	5
3	14	5
3	15	5
3	16	6
3	17	4
3	18	5
3	19	5
3	20	6
3	21	5
3	22	3
3	23	5
4	0	7
4	1	3
4	2	5
4	3	0
4	4	0
4	5	0
4	6	6
4	7	0
4	8	0
4	9	9
4	10	5
4	11	0
4	12	9
4	13	0
4	14	9
4	15	0
4	16	8
4	17	7
4	18	5
4	19	8
4	20	8
4	21	0
4	22	0
4	23	0
5	0	4
5	1	3
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0
5	12	0
5	13	0
5	14	0
5	15	0
5	16	6
5	17	0
5	18	0
5	19	0
5	20	5
5	21	0
5	22	0
5	23	0
6	0	0
6	1	0
6	2	0
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	7
6	23	0
